symbol,date,price
United,Jan 2000,39.81
United,Feb 2000,36.35
United,Mar 2000,43.22
United,Apr 2000,28.37
United,May 2000,25.45
United,Jun 2000,32.54
United,Jul 2000,28.4
United,Aug 2000,28.4
United,Sep 2000,24.53
United,Oct 2000,28.02
United,Nov 2000,23.34
United,Dec 2000,17.65
United,Jan 2001,24.84
United,Feb 2001,24
United,Mar 2001,22.25
United,Apr 2001,27.56
United,May 2001,28.14
United,Jun 2001,29.7
United,Jul 2001,26.93
United,Aug 2001,23.21
United,Sep 2001,20.82
United,Oct 2001,23.65
United,Nov 2001,26.12
United,Dec 2001,26.95
United,Jan 2002,25.92
United,Feb 2002,23.73
United,Mar 2002,24.53
United,Apr 2002,21.26
United,May 2002,20.71
United,Jun 2002,22.25
United,Jul 2002,19.52
United,Aug 2002,19.97
United,Sep 2002,17.79
United,Oct 2002,21.75
United,Nov 2002,23.46
United,Dec 2002,21.03
United,Jan 2003,19.31
United,Feb 2003,19.34
United,Mar 2003,19.76
United,Apr 2003,20.87
United,May 2003,20.09
United,Jun 2003,20.93
United,Jul 2003,21.56
United,Aug 2003,21.65
United,Sep 2003,22.69
United,Oct 2003,21.45
United,Nov 2003,21.1
United,Dec 2003,22.46
United,Jan 2004,22.69
United,Feb 2004,21.77
United,Mar 2004,20.46
United,Apr 2004,21.45
United,May 2004,21.53
United,Jun 2004,23.44
United,Jul 2004,23.38
United,Aug 2004,22.47
United,Sep 2004,22.76
United,Oct 2004,23.02
United,Nov 2004,24.6
United,Dec 2004,24.52
United,Jan 2005,24.11
United,Feb 2005,23.15
United,Mar 2005,22.24
United,Apr 2005,23.28
United,May 2005,23.82
United,Jun 2005,22.93
United,Jul 2005,23.64
United,Aug 2005,25.35
United,Sep 2005,23.83
United,Oct 2005,23.8
United,Nov 2005,25.71
United,Dec 2005,24.29
United,Jan 2006,26.14
United,Feb 2006,25.04
United,Mar 2006,25.36
United,Apr 2006,22.5
United,May 2006,21.19
United,Jun 2006,21.8
United,Jul 2006,22.51
United,Aug 2006,24.13
United,Sep 2006,25.68
United,Oct 2006,26.96
United,Nov 2006,27.66
United,Dec 2006,28.13
United,Jan 2007,29.07
United,Feb 2007,26.63
United,Mar 2007,26.35
United,Apr 2007,28.3
United,May 2007,29.11
United,Jun 2007,27.95
United,Jul 2007,27.5
United,Aug 2007,27.34
United,Sep 2007,28.04
United,Oct 2007,35.03
United,Nov 2007,32.09
United,Dec 2007,34
United,Jan 2008,31.13
United,Feb 2008,26.07
United,Mar 2008,27.21
United,Apr 2008,27.34
United,May 2008,27.25
United,Jun 2008,26.47
United,Jul 2008,24.75
United,Aug 2008,26.36
United,Sep 2008,25.78
United,Oct 2008,21.57
United,Nov 2008,19.66
United,Dec 2008,18.91
United,Jan 2009,16.63
United,Feb 2009,15.81
United,Mar 2009,17.99
United,Apr 2009,19.84
United,May 2009,20.59
United,Jun 2009,23.42
United,Jul 2009,23.18
United,Aug 2009,24.43
United,Sep 2009,25.49
United,Oct 2009,27.48
United,Nov 2009,29.27
United,Dec 2009,30.34
United,Jan 2010,28.05
United,Feb 2010,28.67
United,Mar 2010,28.8
Delta,Jan 2000,64.56
Delta,Feb 2000,68.87
Delta,Mar 2000,67
Delta,Apr 2000,55.19
Delta,May 2000,48.31
Delta,Jun 2000,36.31
Delta,Jul 2000,30.12
Delta,Aug 2000,41.5
Delta,Sep 2000,38.44
Delta,Oct 2000,36.62
Delta,Nov 2000,24.69
Delta,Dec 2000,15.56
Delta,Jan 2001,17.31
Delta,Feb 2001,10.19
Delta,Mar 2001,10.23
Delta,Apr 2001,15.78
Delta,May 2001,16.69
Delta,Jun 2001,14.15
Delta,Jul 2001,12.49
Delta,Aug 2001,8.94
Delta,Sep 2001,5.97
Delta,Oct 2001,6.98
Delta,Nov 2001,11.32
Delta,Dec 2001,10.82
Delta,Jan 2002,14.19
Delta,Feb 2002,14.1
Delta,Mar 2002,14.3
Delta,Apr 2002,16.69
Delta,May 2002,18.23
Delta,Jun 2002,16.25
Delta,Jul 2002,14.45
Delta,Aug 2002,14.94
Delta,Sep 2002,15.93
Delta,Oct 2002,19.36
Delta,Nov 2002,23.35
Delta,Dec 2002,18.89
Delta,Jan 2003,21.85
Delta,Feb 2003,22.01
Delta,Mar 2003,26.03
Delta,Apr 2003,28.69
Delta,May 2003,35.89
Delta,Jun 2003,36.32
Delta,Jul 2003,41.64
Delta,Aug 2003,46.32
Delta,Sep 2003,48.43
Delta,Oct 2003,54.43
Delta,Nov 2003,53.97
Delta,Dec 2003,52.62
Delta,Jan 2004,50.4
Delta,Feb 2004,43.01
Delta,Mar 2004,43.28
Delta,Apr 2004,43.6
Delta,May 2004,48.5
Delta,Jun 2004,54.4
Delta,Jul 2004,38.92
Delta,Aug 2004,38.14
Delta,Sep 2004,40.86
Delta,Oct 2004,34.13
Delta,Nov 2004,39.68
Delta,Dec 2004,44.29
Delta,Jan 2005,43.22
Delta,Feb 2005,35.18
Delta,Mar 2005,34.27
Delta,Apr 2005,32.36
Delta,May 2005,35.51
Delta,Jun 2005,33.09
Delta,Jul 2005,45.15
Delta,Aug 2005,42.7
Delta,Sep 2005,45.3
Delta,Oct 2005,39.86
Delta,Nov 2005,48.46
Delta,Dec 2005,47.15
Delta,Jan 2006,44.82
Delta,Feb 2006,37.44
Delta,Mar 2006,36.53
Delta,Apr 2006,35.21
Delta,May 2006,34.61
Delta,Jun 2006,38.68
Delta,Jul 2006,26.89
Delta,Aug 2006,30.83
Delta,Sep 2006,32.12
Delta,Oct 2006,38.09
Delta,Nov 2006,40.34
Delta,Dec 2006,39.46
Delta,Jan 2007,37.67
Delta,Feb 2007,39.14
Delta,Mar 2007,39.79
Delta,Apr 2007,61.33
Delta,May 2007,69.14
Delta,Jun 2007,68.41
Delta,Jul 2007,78.54
Delta,Aug 2007,79.91
Delta,Sep 2007,93.15
Delta,Oct 2007,89.15
Delta,Nov 2007,90.56
